1984,16,10,2217
1986,7,7,2227
1987,2,2,2234
1988,20,18,2236
1989,13,13,2254
1990,26,18,2267
1991,19,19,2285
1992,35,23,2304
1993,26,17,2327
1994,49,37,2344
1995,43,30,2381
1996,45,38,2411
1997,22,19,2449
1998,134,128,2468
1999,12,9,2596
19th,2,1,2605
19thld,1,1,2606
1st,69,35,2607
1stadd,1,1,2642
1stl,2,2,2643
1stld,49,43,2645
20,90,71,2688
200,28,25,2759
2000,20,18,2784
20000,4,4,2802
200000,1,1,2806
2001,2,2,2807
2001edt,1,1,2809
2002,1,1,2810
2002est,1,1,2811
2008,1,1,2812
2008edt,1,1,2813
2009,1,1,2814
2009est,1,1,2815
2012,1,1,2816
2012est,1,1,2817
2013,1,1,2818
2013est,1,1,2819
2018,1,1,2820
2018edt,1,1,2821
2022,1,1,2822
2022est,1,1,2823
2031,2,2,2824
2031edt,2,2,2826
2034,1,1,2828
2034edt,1,1,2829
2036,1,1,2830
2036edt,1,1,2831
2038,1,1,2832
2038edt,1,1,2833
2040,2,2,2834
2040edt,1,1,2836
2040est,1,1,2837
2043,1,1,2838
2043edt,1,1,2839
2044,1,1,2840
2044est,1,1,2841
2046,1,1,2842
2046edt,1,1,2843
2047,1,1,2844
2047edt,1,1,2845
2051,1,1,2846
2051edt,1,1,2847
2055,2,2,2848
2055est,2,2,2850
2057,1,1,2852
2057est,1,1,2853
2058,2,2,2854
2058edt,2,2,2856
209,1,1,2858
2098,1,1,2859
20th,3,2,2860
20thld,1,1,2862
21,53,33,2863
210,1,1,2896
2100,2,2,2897
21000,1,1,2899
210000,1,1,2900
2100est,1,1,2901
2101,4,4,2902
2101edt,4,4,2906
2102,1,1,2910
2102edt,1,1,2911
2105,2,2,2912
2105edt,2,2,2914
2109,1,1,2916
2109est,1,1,2917
2112,1,1,2918
2112edt,1,1,2919
2116,1,1,2920
2116est,1,1,2921
212,3,3,2922
2121,1,1,2925
2121edt,1,1,2926
2124,4,4,2927
2124edt,4,4,2931
2125,1,1,2935
2125est,1,1,2936
213,1,1,2937
2131,2,2,2938
2131edt,1,1,2940
2135,1,1,2941
2135edt,1,1,2942
2137,1,1,2943
2137edt,1,1,2944
214,3,3,2945
2147,1,1,2948
2147est,1,1,2949
2148,1,1,2950
2148edt,1,1,2951
2152,1,1,2952
2152edt,1,1,2953
2154,1,1,2954
2154edt,1,1,2955
2157,1,1,2956
2157edt,1,1,2957
217,1,1,2958
217000,1,1,2959
21st,1,1,2960
22,45,26,2961
2200,3,3,2987
220000,1,1,2990
2200edt,2,2,2991
2202,1,1,2993
2202edt,1,1,2994
221,1,1,2995
2211,1,1,2996
2211edt,1,1,2997
2223,1,1,2998
2223edt,1,1,2999
2228,1,1,3000
2228est,1,1,3001
2230,1,1,3002
22300,2,1,3003
2230edt,1,1,3004
224,1,1,3005
2243,1,1,3006
2247,1,1,3007
2247est,1,1,3008
2254,2,2,3009
2254est,2,2,3011
2257,1,1,3013
2257est,1,1,3014
228,3,3,3015
229,9,9,3018
22nd,1,1,3027
23,38,24,3028
230,2,2,3052
231,1,1,3054
2311,2,2,3055
2311edt,2,2,3057
2312,1,1,3059
2312est,1,1,3060
2314,1,1,3061
2314est,1,1,3062
2317,2,2,3063
